Data Ora;TEMP 1 (°C);TEMP 2 (°C);TEMP 3 (°C);
13/12/2022 08.50.00;16,4;16;15,6;
13/12/2022 08.51.00;16,4;16;15,7;
13/12/2022 08.52.00;16,4;16;15,7;
13/12/2022 08.53.00;16,4;16,1;15,7;
13/12/2022 08.54.00;16,4;16;15,7;
13/12/2022 08.55.00;16,5;16,1;15,7;
13/12/2022 08.56.00;16,4;16,1;15,7;
13/12/2022 08.57.00;16,5;16,1;15,8;
13/12/2022 08.58.00;16,5;16,2;15,8;
13/12/2022 08.59.00;16,5;16,2;15,8;
13/12/2022 09.00.00;16,5;16,2;15,8;
13/12/2022 09.01.00;16,6;16,2;15,8;
13/12/2022 09.02.00;16,6;16,2;15,8;
13/12/2022 09.03.00;16,6;16,2;15,8;
13/12/2022 09.04.00;16,6;16,2;15,8;
13/12/2022 09.05.00;16,6;16,2;15,8;
13/12/2022 09.06.00;16,6;16,3;15,9;
13/12/2022 09.07.00;16,6;16,3;15,9;
13/12/2022 09.08.00;16,7;16,3;15,9;
13/12/2022 09.09.00;16,7;16,3;15,9;
13/12/2022 09.10.00;16,7;16,3;15,9;
13/12/2022 09.11.00;16,7;16,4;15,9;
13/12/2022 09.12.00;16,7;16,4;15,9;
13/12/2022 09.13.00;16,7;16,4;16;
13/12/2022 09.14.00;16,7;16,4;16;
13/12/2022 09.15.00;16,8;16,4;16;
13/12/2022 09.16.00;16,8;16,4;16;
13/12/2022 09.17.00;16,8;16,4;16;
13/12/2022 09.18.00;16,8;16,4;16;
13/12/2022 09.19.00;16,8;16,5;16;
13/12/2022 09.20.00;16,8;16,5;16;
13/12/2022 09.21.00;16,8;16,5;16;
13/12/2022 09.22.00;16,8;16,5;16;
13/12/2022 09.23.00;16,9;16,5;16;
13/12/2022 09.24.00;16,9;16,5;16,1;
13/12/2022 09.25.00;16,9;16,6;16,1;
13/12/2022 09.26.00;16,9;16,6;16,1;
13/12/2022 09.27.00;16,9;16,6;16,1;
13/12/2022 09.28.00;17;16,6;16,1;
13/12/2022 09.29.00;16,9;16,6;16,1;
13/12/2022 09.30.00;17;16,6;16,1;
13/12/2022 09.31.00;17;16,6;16,1;
13/12/2022 09.32.00;17;16,6;16,1;
13/12/2022 09.33.00;17;16,7;16,1;
13/12/2022 09.34.00;17;16,7;16,1;
13/12/2022 09.35.00;17;16,7;16,2;
13/12/2022 09.36.00;17;16,7;16,2;
13/12/2022 09.37.00;17,1;16,7;16,2;
13/12/2022 09.38.00;17,1;16,7;16,2;
13/12/2022 09.39.00;17,1;16,7;16,2;
13/12/2022 09.40.00;17,1;16,8;16,2;
13/12/2022 09.41.00;17,1;16,8;16,2;
13/12/2022 09.42.00;17,1;16,8;16,3;
13/12/2022 09.43.00;17,1;16,8;16,3;
13/12/2022 09.44.00;17,1;16,8;16,3;
13/12/2022 09.45.00;17,1;16,8;16,3;
13/12/2022 09.46.00;17,2;16,8;16,3;
13/12/2022 09.47.00;17,2;16,9;16,3;
13/12/2022 09.48.00;17,2;16,9;16,3;
13/12/2022 09.49.00;17,2;16,9;16,3;
13/12/2022 09.50.00;17,2;16,9;16,3;
13/12/2022 09.51.00;17,2;16,9;16,3;
13/12/2022 09.52.00;17,2;16,9;16,3;
13/12/2022 09.53.00;17,2;16,9;16,4;
13/12/2022 09.54.00;17,3;17;16,4;
13/12/2022 09.55.00;17,3;17;16,4;
13/12/2022 09.56.00;17,3;17;16,4;
13/12/2022 09.57.00;17,3;17;16,4;
13/12/2022 09.58.00;17,3;17;16,4;
13/12/2022 09.59.00;17,3;17;16,5;
13/12/2022 10.00.00;17,3;17;16,4;
13/12/2022 10.01.00;17,3;17,1;16,5;
13/12/2022 10.02.00;17,3;17,1;16,5;
13/12/2022 10.03.00;17,4;17,1;16,5;
13/12/2022 10.04.00;17,4;17,1;16,5;
13/12/2022 10.05.00;17,4;17,1;16,5;
13/12/2022 10.06.00;17,4;17,1;16,5;
13/12/2022 10.07.00;17,4;17,1;16,5;
13/12/2022 10.08.00;17,4;17,1;16,5;
13/12/2022 10.09.00;17,4;17,2;16,5;
13/12/2022 10.10.00;17,4;17,2;16,5;
13/12/2022 10.11.00;17,4;17,2;16,6;
13/12/2022 10.12.00;17,4;17,2;16,6;
13/12/2022 10.13.00;17,4;17,2;16,6;
13/12/2022 10.14.00;17,5;17,2;16,6;
13/12/2022 10.15.00;17,5;17,2;16,6;
13/12/2022 10.16.00;17,5;17,2;16,6;
13/12/2022 10.17.00;17,5;17,3;16,6;
13/12/2022 10.18.00;17,6;17,3;16,6;
13/12/2022 10.19.00;17,5;17,3;16,7;
13/12/2022 10.20.00;17,6;17,3;16,7;
13/12/2022 10.21.00;17,6;17,3;16,7;
13/12/2022 10.22.00;17,6;17,3;16,7;
13/12/2022 10.23.00;17,6;17,3;16,7;
13/12/2022 10.24.00;17,6;17,3;16,7;
13/12/2022 10.25.00;17,6;17,4;16,7;
13/12/2022 10.26.00;17,6;17,4;16,7;
13/12/2022 10.27.00;17,6;17,4;16,8;
13/12/2022 10.28.00;17,6;17,4;16,8;
13/12/2022 10.29.00;17,7;17,4;16,8;
13/12/2022 10.30.00;17,7;17,4;16,8;
13/12/2022 10.31.00;17,7;17,4;16,8;
13/12/2022 10.32.00;17,7;17,5;16,8;
13/12/2022 10.33.00;17,7;17,5;16,9;
13/12/2022 10.34.00;17,7;17,5;16,9;
13/12/2022 10.35.00;17,7;17,5;16,8;
13/12/2022 10.36.00;17,7;17,5;16,8;
13/12/2022 10.37.00;17,7;17,5;16,8;
13/12/2022 10.38.00;17,7;17,5;16,8;
13/12/2022 10.39.00;17,7;17,5;16,8;
13/12/2022 10.40.00;17,7;17,5;16,8;
13/12/2022 10.41.00;17,8;17,5;16,9;
13/12/2022 10.42.00;17,8;17,5;16,9;
13/12/2022 10.43.00;17,8;17,6;16,9;
13/12/2022 10.44.00;17,8;17,6;16,9;
13/12/2022 10.45.00;17,8;17,6;16,9;
13/12/2022 10.46.00;17,8;17,6;17;
13/12/2022 10.47.00;17,8;17,6;17;
13/12/2022 10.48.00;17,8;17,6;17;
13/12/2022 10.49.00;17,9;17,6;17;
13/12/2022 10.50.00;17,8;17,6;17;
13/12/2022 10.51.00;17,9;17,7;17;
13/12/2022 10.52.00;17,9;17,7;17,1;
13/12/2022 10.53.00;17,9;17,7;17,1;
13/12/2022 10.54.00;17,9;17,7;17,1;
13/12/2022 10.55.00;17,9;17,7;17,1;
13/12/2022 10.56.00;17,9;17,7;17,1;
13/12/2022 10.57.00;17,9;17,7;17,1;
13/12/2022 10.58.00;18;17,8;17,1;
13/12/2022 10.59.00;18;17,8;17,1;
13/12/2022 11.00.00;18;17,8;17,1;
